Day fraction since midnight on 5/8/2018,Sec,Min,Source Pressure (Pa),Turbidity Effluent (),Turbidimeter Influent (),BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.49013369,1240.000704,20.6666784,32365.47656,1.27,7.7801,0.99999947,0.14210526,0.80305263
0.49019155,1244.999808,20.7499968,32400.43555,1.27,7.5895,0.99999947,0.14210526,0.80305263
0.49024944,1250.001504,20.8333584,32408.0918,1.27,8.032,0.99999947,0.14210526,0.80305263
0.4903073,1255.000608,20.9166768,32418.82813,1.27,7.9987,0.99999947,0.14210526,0.80305263
0.49036516,1259.999712,20.9999952,32465.08398,1.27,7.9526,0.99999947,0.14210526,0.80305263
0.49042305,1265.001408,21.0833568,32438.7793,1.27,7.9444,0.99999947,0.14210526,0.80305263
0.49048086,1269.996192,21.1666032,32480.13281,1.27,7.8795,0.99999947,0.14210526,0.80305263
0.49053879,1275.001344,21.2500224,32488.87109,1.27,8.1495,0.99999947,0.14210526,0.80305263
0.49059664,1279.999584,21.3333264,32502.10547,1.27,8.113,0.99999947,0.14210526,0.80305263
0.49065454,1285.002144,21.4167024,32519.33203,1.27,7.9686,0.99999947,0.14210526,0.80305263
0.49071238,1289.99952,21.499992,32519.93555,1.27,7.8175,0.99999947,0.14210526,0.80305263
0.49077026,1295.000352,21.5833392,32515.86328,1.27,7.793,0.99999947,0.14210526,0.80305263
0.49082813,1300.00032,21.666672,32555.94727,1.27,7.8241,0.99999947,0.14210526,0.80305263
0.49088601,1305.001152,21.7500192,32585.98242,1.27,7.7248,0.99999947,0.14210526,0.80305263
0.49094388,1310.00112,21.833352,32577.80273,1.27,7.7833,0.99999947,0.14210526,0.80305263
0.49100173,1314.99936,21.916656,32586.35742,1.27,7.7777,0.99999947,0.14210526,0.80305263
0.49105962,1320.001056,22.0000176,32586.625,1.27,7.7106,0.99999947,0.14210526,0.80305263
0.49111749,1325.001024,22.0833504,32599.05078,1.27,7.6504,0.99999947,0.14210526,0.80305263
0.49117536,1330.000992,22.1666832,32611.05078,1.27,7.8841,0.99999947,0.14210526,0.80305263
0.49123322,1335.000096,22.2500016,32636.91797,1.27,7.8859,0.99999947,0.14210526,0.80305263
0.49129109,1340.000064,22.3333344,32642.91211,1.27,7.8677,0.99999947,0.14210526,0.80305263
